W,ipr_mean,ipr_median,ipr_max,frac_localized,r_mean,r_GOE_dist,r_Poisson_dist,lambda_min,lambda_max,spectral_width,disorder_type
3.979430005986696,0.6202796984455944,0.6055158896252528,0.9999999997469327,1.0,0.3913513693832548,0.13814863061674515,0.0050513693832548445,-6.288860604871967,22.5527608522374,28.84162145710937,IMD_composite
5.010322173396916,0.675626488858865,0.6962429554612346,0.9999999998348097,1.0,0.39622504420768917,0.1332749557923108,0.009925044207689193,-8.055484155265972,28.112706456091612,36.16819061135759,IMD_composite
6.308272351434023,0.7287177005595366,0.7806385608453684,0.9999999998934583,1.0,0.4008825540387768,0.12861744596122315,0.01458255403877684,-10.319361075129335,35.120107510423594,45.43946858555293,IMD_composite
7.942463315265625,0.7771372951320747,0.8509464307570563,0.9999999999318305,1.0,0.3821879429141978,0.1473120570858022,0.004112057085802201,-13.237986182503054,43.946118749881286,57.184104932384344,IMD_composite
10.0,0.8174928667675232,0.903165100499252,0.9999999999566083,1.0,0.3802637557408038,0.14923624425919618,0.0060362442591961885,-16.915633569641578,55.061198288582325,71.9768318582239,IMD_composite
0.0,0.05781802815214555,0.008921683574691457,0.9999959642143615,0.9887491727332892,0.49017488299834777,0.0393251170016522,0.1038748829983478,-9.874784262628795e-17,1.9999999999728373,1.9999999999728373,synthetic_Gaussian
0.049999999999999996,0.060452448126290186,0.009578739176588174,0.9999999918695712,0.9887491727332892,0.4937242513395903,0.03577574866040967,0.10742425133959033,-0.02445553570065058,2.0296536634749343,2.054109199175585,synthetic_Gaussian
0.06295276165002697,0.06207397558234224,0.01003338788451581,0.9999999911155177,0.9960291197882197,0.4885591595580372,0.04094084044196278,0.10225915955803722,-0.030975005979455725,2.048658711589041,2.079633717568497,synthetic_Gaussian
0.07926100398730214,0.06512343943967665,0.010731336036427067,0.9999999601345059,0.9953673064195897,0.4952648021490023,0.034235197850997656,0.10896480214900234,-0.03936164702813584,2.073097752788372,2.1124593998165078,synthetic_Gaussian
0.09979398184308938,0.06851264369104565,0.012242915951068595,0.9999999947047913,0.9973527465254798,0.4765203932642288,0.05297960673577118,0.09022039326422882,-0.06004853954982522,2.104162174819299,2.1642107143691245,synthetic_Gaussian
0.12564613506150252,0.07459765596595626,0.014354745090352138,0.9999999936180748,0.99867637326274,0.4628411525684779,0.06665884743152206,0.07654115256847793,-0.09091757585454818,2.1434623757393836,2.2343799515939318,synthetic_Gaussian
0.15819542385547727,0.08412494142871227,0.017278065313540297,0.9999999894101839,0.99933818663137,0.46239518664258655,0.06710481335741342,0.07609518664258658,-0.13454210100945738,2.1930786948991394,2.327620795908597,synthetic_Gaussian
0.19917677624197705,0.0962508168261722,0.02340121279614237,0.9999999705262813,1.0,0.45913601185965314,0.07036398814034683,0.07283601185965316,-0.19693261805190387,2.2556598372330354,2.452592455284939,synthetic_Gaussian
0.25077456241963875,0.11205681173922322,0.034977789642437064,0.9999982796523444,1.0,0.44789512689481936,0.08160487310518061,0.061595126894819385,-0.28941138759021745,2.334561352949733,2.6239727405399504,synthetic_Gaussian
0.3157390251178666,0.1346915370203884,0.053933434282247436,0.9999999642084156,1.0,0.431423749927939,0.09807625007206094,0.04512374992793905,-0.4218915645656651,2.43402733162148,2.855918896187145,synthetic_Gaussian
0.39753287183713876,0.1662136662411337,0.08260440409938664,0.9999999924452143,1.0,0.42766693002241124,0.10183306997758873,0.041366930022411263,-0.656925947413664,2.559424279324209,3.216350226737873,synthetic_Gaussian
0.5005158425762822,0.20559346204618914,0.11880034106906837,0.9999999978152339,1.0,0.422791291905507,0.10670870809449295,0.03649129190550704,-0.9813186370425457,2.7175407691272038,3.6988594061697495,synthetic_Gaussian
0.6301770907953425,0.2621161053429793,0.18357779131109184,0.9999999989982089,1.0,0.3998772693633855,0.12962273063661445,0.013577269363385547,-1.4137394027216756,3.0772962902208727,4.491035692942548,synthetic_Gaussian
0.793427763882932,0.32948245826622163,0.2615763424710147,0.9999999994752762,1.0,0.4012246432316664,0.12827535676833357,0.014924643231666423,-1.977208322971947,3.5887362638601057,5.565944586832053,synthetic_Gaussian
0.998969378124722,0.40791048968364224,0.35631201239471166,0.9999999997043563,1.0,0.38289238241725465,0.14660761758274532,0.003407617582745326,-2.701237696808719,4.237294498669395,6.938532195478114,synthetic_Gaussian
