city,slug,N,k,sigma,W,mean_degree,median_degree,r_mean,ipr_mean,ipr_max,frac_localized,phase
Bay Wheels SF,sf_baywheels,560,15,800.0,0.0,9.555585984582512,9.780722326473377,0.43496236801568977,0.05167960021226028,0.5524058756557982,0.9625,Poisson
Bay Wheels SF,sf_baywheels,560,15,800.0,1.0,9.555585984582512,9.780722326473377,0.41853857782928533,0.3090987133875782,0.9862798767521906,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,15,1200.0,0.0,12.77122079458295,13.173463630517308,0.4308920984619261,0.03244840899771054,0.49355511066562757,0.9446428571428571,Poisson
Bay Wheels SF,sf_baywheels,560,15,1200.0,1.0,12.77122079458295,13.173463630517308,0.42037702336867555,0.3051517883094797,0.9863512825356848,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,20,300.0,0.0,2.241278503640975,1.8953296009038068,0.43343906731224074,0.1405077446093517,0.9616740288588697,0.9982142857142857,Poisson
Bay Wheels SF,sf_baywheels,560,20,300.0,1.0,2.241278503640975,1.8953296009038068,0.41561718805559106,0.3116744780993505,0.9853766843940501,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,20,500.0,0.0,5.926576630436156,5.2011453903666425,0.43766433130597704,0.10478405755204719,0.4929667934459302,0.9875,intermediate
Bay Wheels SF,sf_baywheels,560,20,500.0,1.0,5.926576630436156,5.2011453903666425,0.4022443974221887,0.3290748965959158,0.9876468130186715,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,20,800.0,0.0,11.097671215489793,10.94792396472241,0.439850842169273,0.06695109064047602,0.5546963198482335,0.9660714285714286,intermediate
Bay Wheels SF,sf_baywheels,560,20,800.0,1.0,11.097671215489793,10.94792396472241,0.4255173505045063,0.3204025827914551,0.9879380671317272,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,20,1200.0,0.0,15.702020709606593,16.210986581859693,0.41586187550139386,0.03655576889849866,0.4972981501425403,0.9535714285714286,Poisson
Bay Wheels SF,sf_baywheels,560,20,1200.0,1.0,15.702020709606593,16.210986581859693,0.4084641708030075,0.3202948880838743,0.9845912679505595,1.0,Poisson
Santander Cycles London,london_tfl,798,6,300.0,0.0,3.1181890041843405,3.0748359533990506,0.49202539064138984,0.03616164689940128,0.48405787105292064,0.9624060150375939,GOE
Santander Cycles London,london_tfl,798,6,300.0,1.0,3.1181890041843405,3.0748359533990506,0.39970446998045,0.24048451353276853,0.9490093986808523,1.0,Poisson
Santander Cycles London,london_tfl,798,6,500.0,0.0,4.983119604281611,4.95523173098825,0.5252013216225986,0.016003764165076213,0.4796399085601676,0.8583959899749374,GOE
Santander Cycles London,london_tfl,798,6,500.0,1.0,4.983119604281611,4.95523173098825,0.3929099428699198,0.22403130524435763,0.9513474768325694,1.0,Poisson
Santander Cycles London,london_tfl,798,6,800.0,0.0,6.098015570609683,6.043445501704887,0.5146719347525522,0.017968610896088307,0.49942162721098504,0.8395989974937343,GOE
Santander Cycles London,london_tfl,798,6,800.0,1.0,6.098015570609683,6.043445501704887,0.39411458959149953,0.21931657524104947,0.9561776309449149,1.0,Poisson
Santander Cycles London,london_tfl,798,6,1200.0,0.0,6.608912463913871,6.562371977244764,0.5294999573348481,0.019523775145578494,0.4996380613990306,0.8145363408521303,GOE
Santander Cycles London,london_tfl,798,6,1200.0,1.0,6.608912463913871,6.562371977244764,0.40653615327441345,0.21938880992230658,0.9575659994839884,1.0,Poisson
Santander Cycles London,london_tfl,798,10,300.0,0.0,3.745456986517214,3.73182321274187,0.4709429793242916,0.04602559511427608,0.4922362489450512,0.9573934837092731,intermediate
Santander Cycles London,london_tfl,798,10,300.0,1.0,3.745456986517214,3.73182321274187,0.41683465054205,0.26950734541648724,0.9541872975111202,1.0,Poisson
Santander Cycles London,london_tfl,798,10,500.0,0.0,6.9177685493655865,7.063918628934324,0.5443810809285844,0.01391526522893441,0.4667579810710694,0.6729323308270677,GOE
