W,ipr_mean,ipr_median,ipr_max,frac_localized,r_mean,r_GOE_dist,r_Poisson_dist,lambda_min,lambda_max,spectral_width,fraction,rep,N_sub
0.6301770907953425,0.376999683419962,0.3466753411566173,1.0,1.0,0.38511744284534066,0.1443825571546593,0.0011825571546593139,-1.095890322733637,3.04106188827998,4.136952211013616,0.4,1,604
0.793427763882932,0.43716305952466655,0.4028636986845946,1.0,1.0,0.40010445039927206,0.1293955496007279,0.013804450399272084,-1.3844428214392064,3.5395083892748387,4.923951210714045,0.4,1,604
0.998969378124722,0.4927209119568082,0.4778835479486968,1.0,1.0,0.39569510905059124,0.13380489094940873,0.009395109050591266,-1.8181821640643365,4.171558072341586,5.989740236405923,0.4,1,604
1.2577576231352259,0.5623946791411557,0.5347354865468714,1.0,1.0,0.38538909945895533,0.14411090054104464,0.0009109005410446458,-2.5091467406784598,4.971403309271932,7.480550049950391,0.4,1,604
1.5835863172547269,0.621219190590844,0.6213256436399445,1.0,1.0,0.3987068060331837,0.13079319396681627,0.012406806033183726,-3.3888423404525625,5.982056760382551,9.370899100835114,0.4,1,604
1.9938226396476164,0.6797479289210608,0.7170511334194918,1.0,1.0,0.3919478403998828,0.13755215960011719,0.005647840399882809,-4.503379616248482,7.257664260364881,11.761043876613364,0.4,1,604
2.5103328281232806,0.7295375131799379,0.7953796925676562,1.0,1.0,0.38784735730797204,0.14165264269202793,0.0015473573079720637,-5.911759547016815,8.86641315408457,14.778172701101386,0.4,1,604
3.16064768382166,0.7786918242860303,0.8637303331660652,1.0,1.0,0.37526666449504764,0.15423333550495233,0.011033335504952335,-7.688833549460879,10.894187279111625,18.583020828572504,0.4,1,604
3.979430005986696,0.8128038307101371,0.9059981957299068,1.0,1.0,0.38387021882751593,0.14562978117248404,0.002429781172484047,-9.92920239568621,13.44916167133612,23.37836406702233,0.4,1,604
5.010322173396916,0.8518756954375547,0.9382171967586811,1.0,1.0,0.3895098504855059,0.13999014951449407,0.0032098504855059273,-12.752213211479678,16.66758155837923,29.419794769858907,0.4,1,604
6.308272351434023,0.8771644433379685,0.9599697863175796,1.0,1.0,0.38258034218625664,0.14691965781374333,0.003719657813743338,-16.30829747923799,20.72103406631966,37.02933154555765,0.4,1,604
7.942463315265625,0.90245833538773,0.9753852026798946,1.0,1.0,0.35939492203802365,0.17010507796197633,0.02690507796197633,-20.78697681824055,25.82560090402746,46.612577722268014,0.4,1,604
10.0,0.920080744664056,0.9841301948724187,1.0,1.0,0.3964142758826741,0.1330857241173259,0.010114275882674106,-26.426957949769342,32.253380565041645,58.680338514810984,0.4,1,604
0.0,0.1683795314562823,0.07563046725641909,0.9999982897357255,0.9900662251655629,0.42204654731355207,0.1074534526864479,0.03574654731355209,-9.876514835250984e-17,1.9999999999985592,1.9999999999985592,0.4,2,604
0.049999999999999996,0.1761166361568183,0.0825902417128972,0.9999999999999993,0.9900662251655629,0.4207515493631011,0.10874845063689886,0.03445154936310113,-0.06594381838234412,2.0704553528298444,2.1363991712121884,0.4,2,604
0.06295276165002697,0.1785056316017365,0.09296515257758509,0.9999999999999996,0.9950331125827815,0.42124373041909274,0.10825626958090723,0.03494373041909277,-0.08339628884949603,2.0893864010305396,2.1727826898800355,0.4,2,604
0.07926100398730214,0.18100874436539902,0.09960864409257277,1.0,0.9933774834437086,0.43645216933382064,0.09304783066617933,0.05015216933382066,-0.10543152838075405,2.113259347876558,2.218690876257312,0.4,2,604
0.09979398184308938,0.18264488191589992,0.09633229889269185,1.0,0.9983443708609272,0.434203574258568,0.09529642574143199,0.047903574258568005,-0.133253216208639,2.1433764121292094,2.276629628337848,0.4,2,604
0.12564613506150252,0.19164876645883805,0.10237094303496992,1.0,1.0,0.4320478008098053,0.09745219919019465,0.04574780080980534,-0.16837807531927437,2.181503888844397,2.3498819641636715,0.4,2,604
